epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1912.37,0.82643,0.81728,1.22719,0.92428,0.83924,0.9055,0.69881,0.49772,0.64724,0.7735,0.00406,0.00406,0.00406
62,1943.7,0.82693,0.80797,1.23607,0.8797,0.82267,0.891,0.70454,0.48094,0.53257,0.76152,0.003961,0.003961,0.003961
63,1975.08,0.84762,0.84182,1.24723,0.93309,0.87161,0.91872,0.70405,0.46322,0.43213,0.73631,0.003862,0.003862,0.003862
64,2006.37,0.8434,0.81965,1.24097,0.8811,0.84375,0.90576,0.71795,0.46187,0.48759,0.74172,0.003763,0.003763,0.003763
65,2037.43,0.78876,0.75903,1.20772,0.93742,0.85,0.92333,0.72235,0.45348,0.43013,0.72598,0.003664,0.003664,0.003664
66,2068.46,0.79915,0.78794,1.21008,0.91832,0.8625,0.92512,0.71831,0.44739,0.42399,0.72455,0.003565,0.003565,0.003565
67,2099.99,0.84119,0.82133,1.2486,0.87162,0.85,0.9294,0.72351,0.45311,0.42811,0.72152,0.003466,0.003466,0.003466
68,2131.51,0.79623,0.75594,1.2144,0.90243,0.86713,0.92968,0.72709,0.46593,0.64522,0.74371,0.003367,0.003367,0.003367
69,2162.95,0.82296,0.82667,1.24115,0.89918,0.8625,0.92175,0.71658,0.47574,0.42537,0.74033,0.003268,0.003268,0.003268
70,2194.15,0.79577,0.79712,1.22208,0.89527,0.88125,0.93642,0.71231,0.47517,0.3856,0.74279,0.003169,0.003169,0.003169
71,2225.31,0.78844,0.76868,1.211,0.90718,0.85,0.93089,0.71752,0.46368,0.41353,0.74076,0.00307,0.00307,0.00307
72,2256.32,0.80008,0.75759,1.21796,0.90541,0.8375,0.9149,0.70909,0.44698,0.45207,0.73046,0.002971,0.002971,0.002971
73,2287.26,0.74513,0.71085,1.17738,0.89898,0.85,0.9127,0.72263,0.46912,0.41822,0.74913,0.002872,0.002872,0.002872
74,2318.56,0.77466,0.71495,1.20813,0.94963,0.85625,0.93005,0.72243,0.47036,0.39651,0.74994,0.002773,0.002773,0.002773
